,rust_vs_py_unit,rust_vs_py_weighted
count,31602.0,31602.0
mean,0.9843234640411745,0.9487388370644931
std,0.03913988226009534,0.04815913248898669
min,0.28808004305578694,0.24911844669040778
25%,0.990209294109038,0.9456131707728463
50%,0.9968624523819597,0.9646973351488327
75%,0.9988173157795573,0.9732377755902738
max,0.9999929388723866,0.993845030216277
