,rust_vs_py_unit,rust_vs_py_weighted
count,59.0,59.0
mean,0.9523466081634706,0.915757596509034
std,0.09490238041156138,0.09958488428222877
min,0.5648419796249752,0.5265500177709458
25%,0.9590703824781087,0.8861391100132782
50%,0.9879516309311428,0.9527474715274986
75%,0.9959358524658461,0.9798561566220565
max,0.9989053842851092,0.9972055277272256
